<shipment>.  (a box), - bunch of pieces,,,,,,,,,,,,,,,,,,,,,,,,
,ODA_CHARGE_FLG,string,SHIPMENT.ODA_CHARGE_FLG,SHIPMENT.ODA_CHARGE_FLG,,,,,,,,,,,,,,,,,,,,,
,OPA_CHARGE_FLG,string,SHIPMENT.OPA_CHARGE_FLG,SHIPMENT.OPA_CHARGE_FLG,,,,,,,,,,,,,,,,,,,,,
,ORIGIN_LOC_CITY_NM,string,SHIPMENT.ORIGIN_LOC_CITY_NM,SHIPMENT.ORIGIN_LOC_CITY_NM,,,,,,,,,,,,,,,,,,,,,
,ORIGIN_LOC_CNTRY_CD,string,SHIPMENT.ORIGIN_LOC_CNTRY_CD,SHIPMENT.ORIGIN_LOC_CNTRY_CD,,,,,,,,,,,,,,,,,,,,,
,ORIGIN_LOC_STATE_CD,string,,,,,,,,,,,,,,,,,,,,,,,
,ORIGIN_EEC_FLG,string,SHIPMENT.ORIGIN_EEC_FLG,SHIPMENT.ORIGIN_EEC_FLG,,,,,,,,,,,,,,,,,,,,,
,ORIGIN_LOCATION_CD,string,SHIPMENT.ORIGIN_LOCATION_CD,SHIPMENT.ORIGIN_LOCATION_CD,,,,,,,,,,,,,,,,,,,,,
,PACKAGE_MOVEMENT_SCAN_CD,string,SHIPMENT.PACKAGE_MOVEMENT_SCAN_CD,,"No data in classify, but cbs has",,,,,,,,,,,,,,,,,,,,
,PACKAGING_TYPE_CD,string,SHIPMENT.PACKAGING_TYPE_CD,SHIPMENT.PACKAGING_TYPE_CD,,,,,,,,,,,,,,,,,,,,,
,PIECE_QTY,int,SHIPMENT.PIECE_QTY,SHIPMENT.PIECE_QTY,,,,,,,,,,,,,,,,,,,,,
,PKG_MARK_DESC,string,SHIPMENT.PKG_MARK_DESC,SHIPMENT.PKG_MARK_DESC,,,,,,,,,,,,,,,,,,,,,
,PRIOR_NOTICE_NBR,string,SHIPMENT.PRIOR_NOTICE_NBR,SHIPMENT.PRIOR_NOTICE_NBR,,,,,,,,,,,,,,,,,,,,,
,RAMP_TRANSFER_FLG,string,SHIPMENT.RAMP_TRANSFER_FLG,,No data in prod on both DB,,,,,,,,,,,,,,,,,,,,
,RECORD_STATUS_CD,string,SHIPMENT.RECORD_STATUS_CD,SHIPMENT.RECORD_STATUS_CD,,,,,,,,,,,,,,,,,,,,,
,ROD_FLG,string,SHIPMENT.ROD_FLG,SHIPMENT.ROD_FLG,,,,,,,,,,,,,,,,,,,,,
,RPL_FLG,string,SHIPMENT.RPL_FLG,SHIPMENT.RPL_FLG,,,,,,,,,,,,,,,,,,,,,
,SDL_FLG,string,SHIPMENT.SDL_FLG,SHIPMENT.SDL_FLG,,,,,,,,,,,,,,,,,,,,,
,SED_CD,string,SHIPMENT.SED_CD,SHIPMENT.SED_CD,,,,,,,,,,,,,,,,,,,,,
,SED_EXEMPT_NBR,string,SHIPMENT.SED_EXEMPT_NBR,SHIPMENT.SED_EXEMPT_NBR,,,,,,,,,,,,,,,,,,,,,
,SERVICE_CD,string,SHIPMENT.SERVICE_CD,SHIPMENT.SERVICE_CD,,,,,,,,,,,,,,,,,,,,,
,SERVICE_TYPE_CD,string,SHIPMENT.SERVICE_TYPE_CD,SHIPMENT.SERVICE_TYPE_CD,,,,,,,,,,,,,,,,,,,,,
,SHIPMENT._CONTROL_NBR,string,SHIPMENT.SHIPMENT._CONTROL_NBR,,No data in prod on both DB,,,,,,,,,,,,,,,,,,,,
,SHIP_DT,date,SHIPMENT.SHIP_DT,SHIPMENT.SHIP_DT,,,,,,,,,,,,,,,,,,,,,
,SHIPMENT._DESC,string,SHIPMENT.SHIPMENT._DESC,SHIPMENT.SHIPMENT._DESC,,,,,,,,,,,,,,,,,,,,,
,SHIPMENT._ID_NBR,long,SHIPMENT.SHIPMENT._ID_NBR,,No data in prod on both DB,,,,,,,,,,,,,,,,,,,,
,SHIPPER_REFERENCE_DESC,string,SHIPMENT.SHIPPER_REFERENCE_DESC,"not from here, but during classification from ECI lookup",no data in cbs,,,,,,,,,,,,,,,,,,,,
,SPLIT_BILLING_ADDRESS_AMT,double,SHIPMENT.SPLIT_BILLING_ADDRESS_AMT,,No data in prod on both DB,,,,,,,,,,,,,,,,,,,,
,SPLIT_BILLING_KILO_WGT,double,SHIPMENT.SPLIT_BILLING_KILO_WGT,,No data in prod on both DB,,,,,,,,,,,,,,,,,,,,
,SPU_FLG,string,SHIPMENT.SPU_FLG,SHIPMENT.SPU_FLG,,,,,,,,,,,,,,,,,,,,,
,TOTAL_WGT,double,SHIPMENT.TOTAL_WGT,SHIPMENT.TOTAL_WGT,,,,,,,,,,,,,,,,,,,,,
,TOTAL_WGT_UOM_CD,string,SHIPMENT.TOTAL_WGT_UOM_CD,SHIPMENT.TOTAL_WGT_UOM_CD,,,,,,,,,,,,,,,,,,,,,
,TRACKING_ID_NBR,string,SHIPMENT.TRACKING_ID_NBR,SHIPMENT.TRACKING_ID_NBR,,,,,,,,,,,,,,,,,,,,,
,TRACKING_ID_QUAL_NBR,string,SHIPMENT.TRACKING_ID_QUAL_NBR,,No data in prod on both DB,,,,,,,,,,,,,,,,,,,,
,TRANSACTION_SEQ_TMSTP,dateTime,SHIPMENT.TRANSACTION_SEQ_TMSTP,SHIPMENT.TRANSACTION_SEQ_TMSTP,,,,,,,,,,,,,,,,,,,,,
,TRPRT_BILL_TO_ACCT_NBR,int,SHIPMENT.TRPRT_BILL_TO_ACCT_NBR,SHIPMENT.TRPRT_BILL_TO_ACCT_NBR,,,,,,,,,,,,,,,,,,,,,
,TRPRT_BILL_TO_CD,string,SHIPMENT.TRPRT_BILL_TO_CD,SHIPMENT.TRPRT_BILL_TO_CD,,,,,,,,,,,,,,,,,,,,,
,TRPRT_CREDIT_CARD_FLG,string,SHIPMENT.TRPRT_CREDIT_CARD_FLG,SHIPMENT.TRPRT_CREDIT_CARD_FLG,,,,,,,,,,,,,,,,,,,,,
,TRAN_DATA_SOURCE_CD,string,SHIPMENT.TRAN_DATA_SOURCE_CD,SHIPMENT.TRAN_DATA_SOURCE_CD,,,,,,,,,,,,,,,,,,,,,
,UNASSIGN_REASON_CD,string,SHIPMENT.UNASSIGN_REASON_CD,SHIPMENT.UNASSIGN_REASON_CD,,,,,,,,,,,,,,,,,,,,,
,UNLOADING_USA_PORT_CD,string,SHIPMENT.UNLOADING_USA_PORT_CD,,No data in prod on both DB,,,,,,,,,,,,,,,,,,,,
,VALUE_CHANGED_FLG,string,SHIPMENT.VALUE_CHANGED_FLG,,No data in prod on both DB,,,,,,,,,,,,,,,,,,,,
,WEEKDAY_DELIVERY_FLG,string,SHIPMENT.WEEKDAY_DELIVERY_FLG,,CBS has data,,,,,,,,,,,,,,,,,,,,
,XTN_NBR,string,SHIPMENT.XTN_NBR,SHIPMENT.XTN_NBR,,,,,,,,,,,,,,,,,,,,,
,DEST_LOC_CITY_NM,string,,SHIPMENT.DEST_LOC_CITY_NM,CBS ha no data,,,,,,,,,,,,,,,,,,,,
,IMAGE_FOLDER_ID_CD,string,SHIPMENT.IMAGE_FOLDER_ID_CD,SHIPMENT.IMAGE_FOLDER_ID_CD,,,,,,,,,,,,,,,,,,,,,
,ACI_DOWNLOAD_FLG,string,,SHIPMENT.ACI_DOWNLOAD_FLG,not in cbs,,,,,,,,,,,,,,,,,,,,
,BROKER_DEST_LOC_CD,string,,SHIPMENT.BROKER_DEST_LOC_CD,not in cbs,,,,,,,,,,,,,,,,,,,,
,VISA_TRANS_CD,string,,SHIPMENT.VISA_TRANS_CD,,,,,,,,,,,,,,,,,,,,,
,ETL_TMSTP,dateTime,,System genenrated in classify,System field in classify only,,,,,,,,,,,,,,,,,,,,
,SPLIT_SHIPMENT._FLG,string,SHIPMENT.SPLIT_SHIPMENT_FLG,,No data in prod on both DB,,,,,,,,,,,,,,,,,,,,
,SHIPMENT_TYPE_CD,int,Not Stored,Derived from logic - not from xml,Used for type logic - Derived only in classify,,,,,,,,,,,,,,,,,,,,
,CI_IMAGE_FLG,string,,,Added from Clear status JMS message in both,,,,,,,,,,,,,,,,,,,,
,TRPRT_BILL_TO_PYMT_METHOD_CD,int,,SHIPMENT.TRPRT_BILL_TO_PYMT_METHOD_CD,Only classify has data,,,,,,,,,,,,,,,,,,,,
,FINAL_IMPORT_CLEARANCE_LOC_CD,string,,SHIPMENT.FINAL_IMPORT_CLEARANCE_LOC_CD,"cbs has FINAL_CLEARANCE_LOCATION_CD, but no data",,,,,,,,,,,,,,,,,,,,
,OUTBOUND_TRACK_NBR,string,,,not stored anywhere,,,,,,,,,,,,,,,,,,,,
,RETURN_TYPE,string,,,not stored anywhere,,,,,,,,,,,,,,,,,,,,
,RETURN_REASON_CD,string,,,not stored anywhere,,,,,,,,,,,,,,,,,,,,
,RETURN_MERCH_AUTH_NBR,string,,,not stored anywhere,,,,,,,,,,,,,,,,,,,,
,REVENUE_AUTH_ID,string,,,not stored anywhere,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
<piece> - box,,,,,,,,,,,,,,,,,,,,,,,,,
